,Complex,Assembly,Interactors,GO Cellular Component,GO Molecular Function,GO Biological Process,imp,AvgTurnover,SEM,Interactor_ID
32,CPX-2055,heterotetramer,P47857,"cellular component, GO:0005945, 6-phosphofructokinase complex","molecular function, GO:0003872, 6-phosphofructokinase activity","biological process, GO:0006096, glycolysis",after,-2.8240443221826705,0.052707897540484355,3
33,CPX-2055,heterotetramer,P47857,"cellular component, GO:0005945, 6-phosphofructokinase complex","molecular function, GO:0003872, 6-phosphofructokinase activity","biological process, GO:0006096, glycolysis",before,-2.81417447520831,0.06433992097414723,4
45,CPX-2185,heterodimer,Q61239,"cellular component, GO:0005965, protein farnesyltransferase complex","molecular function, GO:0004660, protein farnesyltransferase activity","biological process, GO:0018343, protein farnesylation",after,-2.5323668883606256,0.09811298440960635,1
46,CPX-2185,heterodimer,Q61239,"cellular component, GO:0005965, protein farnesyltransferase complex","molecular function, GO:0004660, protein farnesyltransferase activity","biological process, GO:0018343, protein farnesylation",before,-2.3609056722856456,0.07771379793913703,2
47,CPX-2185,heterodimer,Q8K2I1,"cellular component, GO:0005965, protein farnesyltransferase complex","molecular function, GO:0004660, protein farnesyltransferase activity","biological process, GO:0018343, protein farnesylation",after,-2.8546100412238533,0.12432285462101922,3
48,CPX-2185,heterodimer,Q8K2I1,"cellular component, GO:0005965, protein farnesyltransferase complex","molecular function, GO:0004660, protein farnesyltransferase activity","biological process, GO:0018343, protein farnesylation",before,-2.8720999214101823,0.4040637076686801,4
148,CPX-2920,heterodimer,Q9JHK4,"cellular component, GO:0005968, Rab-protein geranylgeranyltransferase complex","molecular function, GO:0008270, zinc ion binding; molecular function, GO:0004663, Rab geranylgeranyltransferase activity",,after,-2.749035401445228,0.20236947755212284,1
149,CPX-2920,heterodimer,Q9JHK4,"cellular component, GO:0005968, Rab-protein geranylgeranyltransferase complex","molecular function, GO:0008270, zinc ion binding; molecular function, GO:0004663, Rab geranylgeranyltransferase activity",,before,-2.9817221794672815,0.17497611512636282,2
150,CPX-2920,heterodimer,P53612,"cellular component, GO:0005968, Rab-protein geranylgeranyltransferase complex","molecular function, GO:0008270, zinc ion binding; molecular function, GO:0004663, Rab geranylgeranyltransferase activity",,after,-2.593220914641731,0.1352852597343914,3
151,CPX-2920,heterodimer,P53612,"cellular component, GO:0005968, Rab-protein geranylgeranyltransferase complex","molecular function, GO:0008270, zinc ion binding; molecular function, GO:0004663, Rab geranylgeranyltransferase activity",,before,-2.562282142541342,0.13744764814497948,4
49,CPX-2922,heterotetramer,P01942,"cellular component, GO:0005833, hemoglobin complex","molecular function, GO:0019825, oxygen binding; molecular function, GO:0070026, nitric oxide binding; molecular function, GO:1902670, carbon dioxide binding; molecular function, GO:0005344, oxygen carrier activity","biological process, GO:0030185, nitric oxide transport; biological process, GO:0015671, oxygen transport; biological process, GO:0015670, carbon dioxide transport",after,-5.02222812492882,0.06033654928934618,1
50,CPX-2922,heterotetramer,P01942,"cellular component, GO:0005833, hemoglobin complex","molecular function, GO:0019825, oxygen binding; molecular function, GO:0070026, nitric oxide binding; molecular function, GO:1902670, carbon dioxide binding; molecular function, GO:0005344, oxygen carrier activity","biological process, GO:0030185, nitric oxide transport; biological process, GO:0015671, oxygen transport; biological process, GO:0015670, carbon dioxide transport",before,-5.099421584790297,0.06424029048464962,2
51,CPX-2922,heterotetramer,P02088,"cellular component, GO:0005833, hemoglobin complex","molecular function, GO:0019825, oxygen binding; molecular function, GO:0070026, nitric oxide binding; molecular function, GO:1902670, carbon dioxide binding; molecular function, GO:0005344, oxygen carrier activity","biological process, GO:0030185, nitric oxide transport; biological process, GO:0015671, oxygen transport; biological process, GO:0015670, carbon dioxide transport",after,-4.866442907187044,0.23711212743464297,3
52,CPX-2922,heterotetramer,P02088,"cellular component, GO:0005833, hemoglobin complex","molecular function, GO:0019825, oxygen binding; molecular function, GO:0070026, nitric oxide binding; molecular function, GO:1902670, carbon dioxide binding; molecular function, GO:0005344, oxygen carrier activity","biological process, GO:0030185, nitric oxide transport; biological process, GO:0015671, oxygen transport; biological process, GO:0015670, carbon dioxide transport",before,-5.288214312649758,0.1115831889069279,4
180,CPX-2956,heterotrimer,P11087,"cellular component, GO:0005584, collagen type I trimer","molecular function, GO:0005201, extracellular matrix structural constituent","biological process, GO:0030199, collagen fibril organization",after,-3.2846320902649597,0.43792885759057365,1
181,CPX-2956,heterotrimer,P11087,"cellular component, GO:0005584, collagen type I trimer","molecular function, GO:0005201, extracellular matrix structural constituent","biological process, GO:0030199, collagen fibril organization",before,-3.591457685977203,0.0,2
182,CPX-2956,heterotrimer,Q01149,"cellular component, GO:0005584, collagen type I trimer","molecular function, GO:0005201, extracellular matrix structural constituent","biological process, GO:0030199, collagen fibril organization",after,-3.701026946312557,0.965978100534464,3
183,CPX-2956,heterotrimer,Q01149,"cellular component, GO:0005584, collagen type I trimer","molecular function, GO:0005201, extracellular matrix structural constituent","biological process, GO:0030199, collagen fibril organization",before,-4.6779234782399675,0.10024537113527975,4
84,CPX-2959,heterotrimer,P02463,"cellular component, GO:0005587, collagen type IV trimer","molecular function, GO:0005201, extracellular matrix structural constituent","biological process, GO:0030199, collagen fibril organization",after,-3.3331847574686098,0.10012549742579599,1
85,CPX-2959,heterotrimer,P02463,"cellular component, GO:0005587, collagen type IV trimer","molecular function, GO:0005201, extracellular matrix structural constituent","biological process, GO:0030199, collagen fibril organization",before,-3.423814373719573,0.13977756805754862,2
86,CPX-2959,heterotrimer,P08122,"cellular component, GO:0005587, collagen type IV trimer","molecular function, GO:0005201, extracellular matrix structural constituent","biological process, GO:0030199, collagen fibril organization",after,-3.7243843269189623,0.19911617102678095,3
87,CPX-2959,heterotrimer,P08122,"cellular component, GO:0005587, collagen type IV trimer","molecular function, GO:0005201, extracellular matrix structural constituent","biological process, GO:0030199, collagen fibril organization",before,-3.7942042437313526,0.21306289177322915,4
82,CPX-2962,heterotrimer,O88207,"cellular component, GO:0005588, collagen type V trimer","molecular function, GO:0005201, extracellular matrix structural constituent","biological process, GO:0030199, collagen fibril organization",after,-1.1406487032680181,0.5018555935067478,1
83,CPX-2962,heterotrimer,Q3U962,"cellular component, GO:0005588, collagen type V trimer","molecular function, GO:0005201, extracellular matrix structural constituent","biological process, GO:0030199, collagen fibril organization",after,-3.020842199510673,0.09945203420703906,2
0,CPX-3009,heterotrimer,P02469,"cellular component, GO:0005607, laminin-2 complex","molecular function, GO:0005201, extracellular matrix structural constituent","biological process, GO:0030334, regulation of cell migration; biological process, GO:0045995, regulation of embryonic development; biological process, GO:0030155, regulation of cell adhesion",after,-4.204458454759112,0.09791285423915527,1
1,CPX-3009,heterotrimer,P02469,"cellular component, GO:0005607, laminin-2 complex","molecular function, GO:0005201, extracellular matrix structural constituent","biological process, GO:0030334, regulation of cell migration; biological process, GO:0045995, regulation of embryonic development; biological process, GO:0030155, regulation of cell adhesion",before,-4.227525594454648,0.08492701069584614,2
2,CPX-3009,heterotrimer,P02468,"cellular component, GO:0005607, laminin-2 complex","molecular function, GO:0005201, extracellular matrix structural constituent","biological process, GO:0030334, regulation of cell migration; biological process, GO:0045995, regulation of embryonic development; biological process, GO:0030155, regulation of cell adhesion",after,-4.198550581286397,0.07206440004937692,3
3,CPX-3009,heterotrimer,P02468,"cellular component, GO:0005607, laminin-2 complex","molecular function, GO:0005201, extracellular matrix structural constituent","biological process, GO:0030334, regulation of cell migration; biological process, GO:0045995, regulation of embryonic development; biological process, GO:0030155, regulation of cell adhesion",before,-4.2993891968100995,0.07671577596612489,4
4,CPX-3009,heterotrimer,Q60675,"cellular component, GO:0005607, laminin-2 complex","molecular function, GO:0005201, extracellular matrix structural constituent","biological process, GO:0030334, regulation of cell migration; biological process, GO:0045995, regulation of embryonic development; biological process, GO:0030155, regulation of cell adhesion",after,-4.796800436943635,0.1063583746241165,5
5,CPX-3009,heterotrimer,Q60675,"cellular component, GO:0005607, laminin-2 complex","molecular function, GO:0005201, extracellular matrix structural constituent","biological process, GO:0030334, regulation of cell migration; biological process, GO:0045995, regulation of embryonic development; biological process, GO:0030155, regulation of cell adhesion",before,-4.895441350471997,0.09708837799684718,6
6,CPX-3027,heterodimer,P09055,"cellular component, GO:0034674, alpha5-beta1 integrin complex","molecular function, GO:0004888, transmembrane signaling receptor activity","biological process, GO:0007229, integrin-mediated signaling pathway; biological process, GO:0007160, cell-matrix adhesion; biological process, GO:0035313, wound healing, spreading of epidermal cells",after,-2.0970517165485565,0.09877851454138692,1
7,CPX-3027,heterodimer,P09055,"cellular component, GO:0034674, alpha5-beta1 integrin complex","molecular function, GO:0004888, transmembrane signaling receptor activity","biological process, GO:0007229, integrin-mediated signaling pathway; biological process, GO:0007160, cell-matrix adhesion; biological process, GO:0035313, wound healing, spreading of epidermal cells",before,-2.0384898643988554,0.10486916394869689,2
8,CPX-3027,heterodimer,P11688,"cellular component, GO:0034674, alpha5-beta1 integrin complex","molecular function, GO:0004888, transmembrane signaling receptor activity","biological process, GO:0007229, integrin-mediated signaling pathway; biological process, GO:0007160, cell-matrix adhesion; biological process, GO:0035313, wound healing, spreading of epidermal cells",after,-0.8821474605539095,0.3296384615242762,3
34,CPX-3035,heterodimer,O54890,"cellular component, GO:0034683, alphav-beta3 integrin complex","molecular function, GO:0004888, transmembrane signaling receptor activity","biological process, GO:0007229, integrin-mediated signaling pathway; biological process, GO:0007160, cell-matrix adhesion; biological process, GO:0035313, wound healing, spreading of epidermal cells",after,-2.218762770951838,0.5972743942055674,1
35,CPX-3035,heterodimer,P43406,"cellular component, GO:0034683, alphav-beta3 integrin complex","molecular function, GO:0004888, transmembrane signaling receptor activity","biological process, GO:0007229, integrin-mediated signaling pathway; biological process, GO:0007160, cell-matrix adhesion; biological process, GO:0035313, wound healing, spreading of epidermal cells",after,-1.944341574536254,0.0,2
36,CPX-3035,heterodimer,P43406,"cellular component, GO:0034683, alphav-beta3 integrin complex","molecular function, GO:0004888, transmembrane signaling receptor activity","biological process, GO:0007229, integrin-mediated signaling pathway; biological process, GO:0007160, cell-matrix adhesion; biological process, GO:0035313, wound healing, spreading of epidermal cells",before,-2.0829272921539808,0.0,3
78,CPX-3041,heterodimer,Q9R1T2,"cellular component, GO:0031510, SUMO activating enzyme complex","molecular function, GO:0005524, ATP binding; molecular function, GO:0019948, SUMO activating enzyme activity; molecular function, GO:0032183, SUMO binding",,after,-2.180611380973565,0.22859206370883978,1
79,CPX-3041,heterodimer,Q9R1T2,"cellular component, GO:0031510, SUMO activating enzyme complex","molecular function, GO:0005524, ATP binding; molecular function, GO:0019948, SUMO activating enzyme activity; molecular function, GO:0032183, SUMO binding",,before,-1.8020012873108198,0.31108496229622473,2
80,CPX-3041,heterodimer,Q9Z1F9,"cellular component, GO:0031510, SUMO activating enzyme complex","molecular function, GO:0005524, ATP binding; molecular function, GO:0019948, SUMO activating enzyme activity; molecular function, GO:0032183, SUMO binding",,after,-1.711109317271627,0.10670545726774257,3
81,CPX-3041,heterodimer,Q9Z1F9,"cellular component, GO:0031510, SUMO activating enzyme complex","molecular function, GO:0005524, ATP binding; molecular function, GO:0019948, SUMO activating enzyme activity; molecular function, GO:0032183, SUMO binding",,before,-1.7198650963190971,0.06463614628189204,4
184,CPX-3129,heterodimer,P05555,"cellular component, GO:0034688, alphaM-beta2 integrin complex","molecular function, GO:0004888, transmembrane signaling receptor activity","biological process, GO:0007229, integrin-mediated signaling pathway; biological process, GO:0007160, cell-matrix adhesion",after,-0.4072269064289243,0.0,1
185,CPX-3129,heterodimer,P05555,"cellular component, GO:0034688, alphaM-beta2 integrin complex","molecular function, GO:0004888, transmembrane signaling receptor activity","biological process, GO:0007229, integrin-mediated signaling pathway; biological process, GO:0007160, cell-matrix adhesion",before,-0.10336543989202142,0.0,2
186,CPX-3129,heterodimer,P11835,"cellular component, GO:0034688, alphaM-beta2 integrin complex","molecular function, GO:0004888, transmembrane signaling receptor activity","biological process, GO:0007229, integrin-mediated signaling pathway; biological process, GO:0007160, cell-matrix adhesion",after,-0.2782557635306446,1.0798283329942426,3
187,CPX-3129,heterodimer,P11835,"cellular component, GO:0034688, alphaM-beta2 integrin complex","molecular function, GO:0004888, transmembrane signaling receptor activity","biological process, GO:0007229, integrin-mediated signaling pathway; biological process, GO:0007160, cell-matrix adhesion",before,-1.251136929345077,0.0,4
170,CPX-3251,heterotrimer,Q62432,"cellular component, GO:0071144, heteromeric SMAD protein complex","molecular function, GO:0003700, sequence-specific DNA binding transcription factor activity; molecular function, GO:0003690, double-stranded DNA binding","biological process, GO:0006351, transcription, DNA-templated; biological process, GO:0007179, transforming growth factor beta receptor signaling pathway; biological process, GO:0032924, activin receptor signaling pathway",after,-1.6333747073983307,0.0,1
171,CPX-3251,heterotrimer,P97471,"cellular component, GO:0071144, heteromeric SMAD protein complex","molecular function, GO:0003700, sequence-specific DNA binding transcription factor activity; molecular function, GO:0003690, double-stranded DNA binding","biological process, GO:0006351, transcription, DNA-templated; biological process, GO:0007179, transforming growth factor beta receptor signaling pathway; biological process, GO:0032924, activin receptor signaling pathway",after,1.366625294280089,0.0,2
63,CPX-3287,heterotetramer,Q61081,"cellular component, GO:1990565, HSP90-CDC37 chaperone complex","molecular function, GO:0019887, protein kinase regulator activity","biological process, GO:0032435, negative regulation of proteasomal ubiquitin-dependent protein catabolic process; biological process, GO:0045859, regulation of protein kinase activity; biological process, GO:0022417, protein maturation by protein folding",after,-1.5462374974296222,0.121511191370579,1
64,CPX-3287,heterotetramer,Q61081,"cellular component, GO:1990565, HSP90-CDC37 chaperone complex","molecular function, GO:0019887, protein kinase regulator activity","biological process, GO:0032435, negative regulation of proteasomal ubiquitin-dependent protein catabolic process; biological process, GO:0045859, regulation of protein kinase activity; biological process, GO:0022417, protein maturation by protein folding",before,-1.4908192465479508,0.0446862857463921,2
65,CPX-3287,heterotetramer,P11499,"cellular component, GO:1990565, HSP90-CDC37 chaperone complex","molecular function, GO:0019887, protein kinase regulator activity","biological process, GO:0032435, negative regulation of proteasomal ubiquitin-dependent protein catabolic process; biological process, GO:0045859, regulation of protein kinase activity; biological process, GO:0022417, protein maturation by protein folding",after,-2.4156819792807456,0.05106323789623468,3
66,CPX-3287,heterotetramer,P11499,"cellular component, GO:1990565, HSP90-CDC37 chaperone complex","molecular function, GO:0019887, protein kinase regulator activity","biological process, GO:0032435, negative regulation of proteasomal ubiquitin-dependent protein catabolic process; biological process, GO:0045859, regulation of protein kinase activity; biological process, GO:0022417, protein maturation by protein folding",before,-2.4112176741647673,0.05137748143880111,4
162,CPX-377,heterotetramer,P35486,"cellular component, GO:0045254, pyruvate dehydrogenase complex","molecular function, GO:0004739, pyruvate dehydrogenase (acetyl-transferring) activity","biological process, GO:0006086, acetyl-CoA biosynthetic process from pyruvate",after,-4.7220932434001455,0.04766340379768867,1
163,CPX-377,heterotetramer,P35486,"cellular component, GO:0045254, pyruvate dehydrogenase complex","molecular function, GO:0004739, pyruvate dehydrogenase (acetyl-transferring) activity","biological process, GO:0006086, acetyl-CoA biosynthetic process from pyruvate",before,-4.67327526719006,0.06127208193229438,2
164,CPX-377,heterotetramer,Q9D051,"cellular component, GO:0045254, pyruvate dehydrogenase complex","molecular function, GO:0004739, pyruvate dehydrogenase (acetyl-transferring) activity","biological process, GO:0006086, acetyl-CoA biosynthetic process from pyruvate",after,-4.708214329591532,0.06707960254925939,3
165,CPX-377,heterotetramer,Q9D051,"cellular component, GO:0045254, pyruvate dehydrogenase complex","molecular function, GO:0004739, pyruvate dehydrogenase (acetyl-transferring) activity","biological process, GO:0006086, acetyl-CoA biosynthetic process from pyruvate",before,-4.755510055805131,0.07926764936460468,4
59,CPX-4301,heterodimer,O08529,"cellular component, GO:0110158, calpain complex","molecular function, GO:0005509, calcium ion binding; molecular function, GO:0004198, calcium-dependent cysteine-type endopeptidase activity","biological process, GO:0006508, proteolysis",after,-2.7465886544225184,0.12249551933466826,1
60,CPX-4301,heterodimer,O08529,"cellular component, GO:0110158, calpain complex","molecular function, GO:0005509, calcium ion binding; molecular function, GO:0004198, calcium-dependent cysteine-type endopeptidase activity","biological process, GO:0006508, proteolysis",before,-2.835186016913189,0.12772688755166628,2
61,CPX-4301,heterodimer,O88456,"cellular component, GO:0110158, calpain complex","molecular function, GO:0005509, calcium ion binding; molecular function, GO:0004198, calcium-dependent cysteine-type endopeptidase activity","biological process, GO:0006508, proteolysis",after,-2.8510427705027035,0.14479175220694657,3
62,CPX-4301,heterodimer,O88456,"cellular component, GO:0110158, calpain complex","molecular function, GO:0005509, calcium ion binding; molecular function, GO:0004198, calcium-dependent cysteine-type endopeptidase activity","biological process, GO:0006508, proteolysis",before,-3.0008933449232256,0.06795410475082739,4
134,CPX-4622,heterodimer,P47758,"cellular component, GO:0016020, membrane; cellular component, GO:0005785, signal recognition particle receptor complex","molecular function, GO:0003924, GTPase activity; molecular function, GO:0005047, signal recognition particle binding","biological process, GO:0006617, SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition",after,-1.8657955874656864,0.24339848957056176,1
135,CPX-4622,heterodimer,P47758,"cellular component, GO:0016020, membrane; cellular component, GO:0005785, signal recognition particle receptor complex","molecular function, GO:0003924, GTPase activity; molecular function, GO:0005047, signal recognition particle binding","biological process, GO:0006617, SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition",before,-2.2847733145673095,0.17634436710262036,2
